language,country,status
Albanian,Albania,official
Albanian,Greece,minority
Albanian,Italy,minority
Albanian,Kosovo,official
Albanian,North Macedonia,official
Albanian,Montenegro,regional
Albanian,Romania,minority
Albanian,Serbia,regional
Albanian,Slovenia,minority
Albanian,Turkey,minority
Armenian,Armenia,official
Armenian,Azerbaijan,minority
Armenian,Cyprus,minority
Armenian,Georgia,minority
Armenian,Hungary,minority
Armenian,Iran,minority
Armenian,Iraq,minority
Armenian,Israel,minority
Armenian,Jordan,minority
Armenian,Lebanon,official
Armenian,Poland,minority
Armenian,Romania,minority
Armenian,Syria,minority
Armenian,Turkey,minority
Armenian,Ukraine,minority
Latgalian,Latvia,regional
Latgalian,Russia,regional
Latvian,Latvia,official
Lithuanian,Latvia,minority
Lithuanian,Lithuania,official
Lithuanian,Poland,regional
Breton,France,regional
Cornish,United Kingdom,regional
Irish,Ireland,official
Irish,United Kingdom,minority
Irish,United States,minority
Irish,Canada,minority
Irish,Australia,minority
Irish,New Zealand,minority
Manx,Isle of Man,minority
Scottish Gaelic,Canada,minority
Scottish Gaelic,United Kingdom,regional
Scottish Gaelic,United States,minority
Welsh,Argentina,minority
Welsh,United Kingdom,regional
Welsh,United States,minority
Afrikaans,South Africa,official
Afrikaans,Namibia,minority
Afrikaans,United States,minority
Afrikaans,Netherlands,minority
Afrikaans,United Kingdom,minority
Afrikaans,Germany,minority
Afrikaans,Belgium,minority
Afrikaans,Australia,minority
Afrikaans,Argentina,minority
Alsatian,France,regional
Danish,Denmark,official
Danish,Germany,regional
Danish,Faroe Islands,official
Danish,Greenland,minority
Danish,Iceland,minority
Faroese,Faroe Islands,official
Faroese,Denmark,unofficial
Frisian,Denmark,minority
Frisian,Germany,minority
Frisian,Netherlands,minority
Icelandic,Iceland,official
Icelandic,Denmark,minority
"Low German
(Low Saxon)",Germany,regional
"Low German
(Low Saxon)",Netherlands,regional
Luxembourgish,Luxembourg,official
Luxembourgish,Belgium,minority
Luxembourgish,Germany,minority
Norwegian,Norway,official
Scots,Scotland,minority
Scots,Ireland,minority
Scots,United States,minority
Scots,Canada,regional
Swedish,Sweden,official
Swedish,Finland,official
Swedish,Åland Islands,official
